,algorithm,function,fitness_evaluations,generations,best_fitness,time
0,1 + lambda,Koza 2,100000,20000,1.90547092629802e-05,51.37771344999783
1,1 + lambda,Koza 2,100000,20000,0.0001910094219576108,42.33058092099964
2,1 + lambda,Koza 2,100000,20000,4.7899388551428055e-05,51.87491259699891
3,1 + lambda,Koza 2,100000,20000,0.0002508002469038727,41.40620905000105
4,1 + lambda,Koza 2,100000,20000,0.003877008456096547,59.03530777100241
5,1 + lambda,Koza 2,100000,20000,2.358778890503121e-05,42.73745674300153
6,1 + lambda,Koza 2,100000,20000,8.632704194463478e-05,43.284494774998166
7,1 + lambda,Koza 2,100000,20000,9.597090290347723e-06,99.18862717400043
8,1 + lambda,Koza 2,100000,20000,0.00011866322598237295,75.22204621100536
9,1 + lambda,Koza 2,100000,20000,0.0006834363627735557,71.43330229599815
